ID;language;trial;disp_type;target;distr;matching;key;n_targ;age;sex
44;Xhosa;36;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isihlangu-shoe.PNG;0;[['s', 0.44331812858581543]];9;2;male
44;Xhosa;37;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umtshayelo-broom.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitshixo-key.PNG;1;[['s', 0.37491297721862793]];11;2;male
44;Xhosa;38;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umtshayelo-broom.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/ileri-ladder.PNG;1;[['k', 0.6234080791473389]];10;2;male
44;Xhosa;39;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isikere-scisscors.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitshixo-key.PNG;0;[['k', 0.32897305488586426]];9;2;male
44;Xhosa;40;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umtshayelo-broom.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umpu-gun.PNG;1;[['k', 0.3260819911956787]];11;2;male
44;Xhosa;41;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isihlangu-shoe.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umnwe-finger.PNG;1;[['k', 0.7604320049285889]];8;2;male
44;Xhosa;42;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/ikomityi-cup.PNG;0;[['k', 0.33882999420166016]];8;2;male
44;Xhosa;43;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umnqwazi-hat.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umpu-gun.PNG;1;[['k', 0.33400893211364746]];11;2;male
44;Xhosa;44;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/indlu-house.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/intyatyambo-flower.PNG;0;[['k', 0.8025989532470703]];10;2;male
44;Xhosa;45;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isikere-scisscors.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/inja-dog.PNG;0;[['k', 1.1381621360778809]];11;2;male
44;Xhosa;46;between;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC3/umpu-gun.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC9/ileri-ladder.PNG;1;[['k', 0.38524603843688965]];11;2;male
44;Xhosa;47;within;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isikere-scisscors.PNG;/Users/peerchristensen/Desktop/Khanyiso/Recognition/NC7/isitulo-chair.PNG;1;[['k', 0.3225438594818115]];11;2;male
